video_id,label,features_path,category
01__walk_down_hall_angry,real,processed_real_vectors/01__walk_down_hall_angry.npy,real
12__walking_down_indoor_hall_disgust,real,processed_real_vectors/12__walking_down_indoor_hall_disgust.npy,real
03__secret_conversation,real,processed_real_vectors/03__secret_conversation.npy,real
01__kitchen_still,real,processed_real_vectors/01__kitchen_still.npy,real
08__walking_down_street_outside_angry,real,processed_real_vectors/08__walking_down_street_outside_angry.npy,real
03__exit_phone_room,real,processed_real_vectors/03__exit_phone_room.npy,real
13__walking_down_indoor_hall_disgust,real,processed_real_vectors/13__walking_down_indoor_hall_disgust.npy,real
03__kitchen_pan,real,processed_real_vectors/03__kitchen_pan.npy,real
23__walking_and_outside_surprised,real,processed_real_vectors/23__walking_and_outside_surprised.npy,real
09__talking_angry_couch,real,processed_real_vectors/09__talking_angry_couch.npy,real
12__hugging_happy,real,processed_real_vectors/12__hugging_happy.npy,real
05__walking_outside_cafe_disgusted,real,processed_real_vectors/05__walking_outside_cafe_disgusted.npy,real
06__exit_phone_room,real,processed_real_vectors/06__exit_phone_room.npy,real
07__secret_conversation,real,processed_real_vectors/07__secret_conversation.npy,real
01__meeting_serious,real,processed_real_vectors/01__meeting_serious.npy,real
11__kitchen_still,real,processed_real_vectors/11__kitchen_still.npy,real
27__walking_down_indoor_hall_disgust,real,processed_real_vectors/27__walking_down_indoor_hall_disgust.npy,real
28__outside_talking_still_laughing,real,processed_real_vectors/28__outside_talking_still_laughing.npy,real
22__kitchen_pan,real,processed_real_vectors/22__kitchen_pan.npy,real
21__walking_outside_cafe_disgusted,real,processed_real_vectors/21__walking_outside_cafe_disgusted.npy,real
08__talking_against_wall,real,processed_real_vectors/08__talking_against_wall.npy,real
09__walk_down_hall_angry,real,processed_real_vectors/09__walk_down_hall_angry.npy,real
02__hugging_happy,real,processed_real_vectors/02__hugging_happy.npy,real
16__walking_outside_cafe_disgusted,real,processed_real_vectors/16__walking_outside_cafe_disgusted.npy,real
26__talking_against_wall,real,processed_real_vectors/26__talking_against_wall.npy,real
27__walk_down_hall_angry,real,processed_real_vectors/27__walk_down_hall_angry.npy,real
13__outside_talking_pan_laughing,real,processed_real_vectors/13__outside_talking_pan_laughing.npy,real
27__outside_talking_still_laughing,real,processed_real_vectors/27__outside_talking_still_laughing.npy,real
20__walking_down_indoor_hall_disgust,real,processed_real_vectors/20__walking_down_indoor_hall_disgust.npy,real
08__kitchen_pan,real,processed_real_vectors/08__kitchen_pan.npy,real
17__walking_down_indoor_hall_disgust,real,processed_real_vectors/17__walking_down_indoor_hall_disgust.npy,real
21__walking_down_indoor_hall_disgust,real,processed_real_vectors/21__walking_down_indoor_hall_disgust.npy,real
09__exit_phone_room,real,processed_real_vectors/09__exit_phone_room.npy,real
21__kitchen_still,real,processed_real_vectors/21__kitchen_still.npy,real
10__outside_talking_still_laughing,real,processed_real_vectors/10__outside_talking_still_laughing.npy,real
02__outside_talking_pan_laughing,real,processed_real_vectors/02__outside_talking_pan_laughing.npy,real
19__walking_outside_cafe_disgusted,real,processed_real_vectors/19__walking_outside_cafe_disgusted.npy,real
01__talking_angry_couch,real,processed_real_vectors/01__talking_angry_couch.npy,real
16__walking_down_indoor_hall_disgust,real,processed_real_vectors/16__walking_down_indoor_hall_disgust.npy,real
02__podium_speech_happy,real,processed_real_vectors/02__podium_speech_happy.npy,real
15__talking_against_wall,real,processed_real_vectors/15__talking_against_wall.npy,real
14__walk_down_hall_angry,real,processed_real_vectors/14__walk_down_hall_angry.npy,real
15__walking_down_indoor_hall_disgust,real,processed_real_vectors/15__walking_down_indoor_hall_disgust.npy,real
15__walking_and_outside_surprised,real,processed_real_vectors/15__walking_and_outside_surprised.npy,real
22__walking_down_indoor_hall_disgust,real,processed_real_vectors/22__walking_down_indoor_hall_disgust.npy,real
